date,channel,query,is_cited,source_url,landing_page_type,position_note,notes
2026-03-05,ChatGPT,ipflex,,,,,
2026-03-05,ChatGPT,ipflex proxy,,,,,
2026-03-05,ChatGPT,static residential proxy,,,,,
2026-03-05,ChatGPT,dynamic residential proxy,,,,,
2026-03-05,ChatGPT,datacenter proxy,,,,,
2026-03-05,ChatGPT,proxy session stability,,,,,
2026-03-05,ChatGPT,proxy for ad verification,,,,,
2026-03-05,ChatGPT,住宅代理,,,,,
2026-03-05,ChatGPT,动态住宅代理,,,,,
2026-03-05,ChatGPT,数据中心代理,,,,,
2026-03-05,Perplexity,ipflex,,,,,
2026-03-05,Perplexity,ipflex proxy,,,,,
2026-03-05,Perplexity,static residential proxy,,,,,
2026-03-05,Perplexity,dynamic residential proxy,,,,,
2026-03-05,Perplexity,datacenter proxy,,,,,
2026-03-05,Perplexity,proxy session stability,,,,,
2026-03-05,Perplexity,proxy for ad verification,,,,,
2026-03-05,Perplexity,住宅代理,,,,,
2026-03-05,Perplexity,动态住宅代理,,,,,
2026-03-05,Perplexity,数据中心代理,,,,,
2026-03-05,Gemini,ipflex,,,,,
2026-03-05,Gemini,ipflex proxy,,,,,
2026-03-05,Gemini,static residential proxy,,,,,
2026-03-05,Gemini,dynamic residential proxy,,,,,
2026-03-05,Gemini,datacenter proxy,,,,,
2026-03-05,Gemini,proxy session stability,,,,,
2026-03-05,Gemini,proxy for ad verification,,,,,
2026-03-05,Gemini,住宅代理,,,,,
2026-03-05,Gemini,动态住宅代理,,,,,
2026-03-05,Gemini,数据中心代理,,,,,
2026-03-05,Bing Copilot,ipflex,,,,,
2026-03-05,Bing Copilot,ipflex proxy,,,,,
2026-03-05,Bing Copilot,static residential proxy,,,,,
2026-03-05,Bing Copilot,dynamic residential proxy,,,,,
2026-03-05,Bing Copilot,datacenter proxy,,,,,
2026-03-05,Bing Copilot,proxy session stability,,,,,
2026-03-05,Bing Copilot,proxy for ad verification,,,,,
2026-03-05,Bing Copilot,住宅代理,,,,,
2026-03-05,Bing Copilot,动态住宅代理,,,,,
2026-03-05,Bing Copilot,数据中心代理,,,,,
